County,County FIPS,Date,Total Confirmed Cases,Cumulative Cases,New Cases
Alamance,37001,2020-01-22,0,0,0.0
Alexander,37003,2020-01-22,0,0,0.0
Alleghany,37005,2020-01-22,0,0,0.0
Anson,37007,2020-01-22,0,0,0.0
Ashe,37009,2020-01-22,0,0,0.0
Avery,37011,2020-01-22,0,0,0.0
Beaufort,37013,2020-01-22,0,0,0.0
Bertie,37015,2020-01-22,0,0,0.0
Bladen,37017,2020-01-22,0,0,0.0
Brunswick,37019,2020-01-22,0,0,0.0
Buncombe,37021,2020-01-22,0,0,0.0
Burke,37023,2020-01-22,0,0,0.0
Cabarrus,37025,2020-01-22,0,0,0.0
Caldwell,37027,2020-01-22,0,0,0.0
Camden,37029,2020-01-22,0,0,0.0
Carteret,37031,2020-01-22,0,0,0.0
Caswell,37033,2020-01-22,0,0,0.0
Catawba,37035,2020-01-22,0,0,0.0
Chatham,37037,2020-01-22,0,0,0.0
Cherokee,37039,2020-01-22,0,0,0.0
Chowan,37041,2020-01-22,0,0,0.0
Clay,37043,2020-01-22,0,0,0.0
Cleveland,37045,2020-01-22,0,0,0.0
Columbus,37047,2020-01-22,0,0,0.0
Craven,37049,2020-01-22,0,0,0.0
Cumberland,37051,2020-01-22,0,0,0.0
Currituck,37053,2020-01-22,0,0,0.0
Dare,37055,2020-01-22,0,0,0.0
Davidson,37057,2020-01-22,0,0,0.0
Davie,37059,2020-01-22,0,0,0.0
Duplin,37061,2020-01-22,0,0,0.0
Durham,37063,2020-01-22,0,0,0.0
Edgecombe,37065,2020-01-22,0,0,0.0
Forsyth,37067,2020-01-22,0,0,0.0
Franklin,37069,2020-01-22,0,0,0.0
Gaston,37071,2020-01-22,0,0,0.0
Gates,37073,2020-01-22,0,0,0.0
Graham,37075,2020-01-22,0,0,0.0
Granville,37077,2020-01-22,0,0,0.0
Greene,37079,2020-01-22,0,0,0.0
Guilford,37081,2020-01-22,0,0,0.0
Halifax,37083,2020-01-22,0,0,0.0
Harnett,37085,2020-01-22,0,0,0.0
Haywood,37087,2020-01-22,0,0,0.0
Henderson,37089,2020-01-22,0,0,0.0
Hertford,37091,2020-01-22,0,0,0.0
Hoke,37093,2020-01-22,0,0,0.0
Hyde,37095,2020-01-22,0,0,0.0
Iredell,37097,2020-01-22,0,0,0.0
Jackson,37099,2020-01-22,0,0,0.0
Johnston,37101,2020-01-22,0,0,0.0
Jones,37103,2020-01-22,0,0,0.0
Lee,37105,2020-01-22,0,0,0.0
Lenoir,37107,2020-01-22,0,0,0.0
Lincoln,37109,2020-01-22,0,0,0.0
McDowell,37111,2020-01-22,0,0,0.0
Macon,37113,2020-01-22,0,0,0.0
Madison,37115,2020-01-22,0,0,0.0
Martin,37117,2020-01-22,0,0,0.0
Mecklenburg,37119,2020-01-22,0,0,0.0
Mitchell,37121,2020-01-22,0,0,0.0
Montgomery,37123,2020-01-22,0,0,0.0
Moore,37125,2020-01-22,0,0,0.0
Nash,37127,2020-01-22,0,0,0.0
New Hanover,37129,2020-01-22,0,0,0.0
Northampton,37131,2020-01-22,0,0,0.0
Onslow,37133,2020-01-22,0,0,0.0
Orange,37135,2020-01-22,0,0,0.0
Pamlico,37137,2020-01-22,0,0,0.0
Pasquotank,37139,2020-01-22,0,0,0.0
Pender,37141,2020-01-22,0,0,0.0
Perquimans,37143,2020-01-22,0,0,0.0
Person,37145,2020-01-22,0,0,0.0
Pitt,37147,2020-01-22,0,0,0.0
Polk,37149,2020-01-22,0,0,0.0
Randolph,37151,2020-01-22,0,0,0.0
Richmond,37153,2020-01-22,0,0,0.0
Robeson,37155,2020-01-22,0,0,0.0
Rockingham,37157,2020-01-22,0,0,0.0
Rowan,37159,2020-01-22,0,0,0.0
Rutherford,37161,2020-01-22,0,0,0.0
Sampson,37163,2020-01-22,0,0,0.0
Scotland,37165,2020-01-22,0,0,0.0
Stanly,37167,2020-01-22,0,0,0.0
Stokes,37169,2020-01-22,0,0,0.0
Surry,37171,2020-01-22,0,0,0.0
Swain,37173,2020-01-22,0,0,0.0
Transylvania,37175,2020-01-22,0,0,0.0
Tyrrell,37177,2020-01-22,0,0,0.0
Union,37179,2020-01-22,0,0,0.0
Vance,37181,2020-01-22,0,0,0.0
Wake,37183,2020-01-22,0,0,0.0
Warren,37185,2020-01-22,0,0,0.0
Washington,37187,2020-01-22,0,0,0.0
Watauga,37189,2020-01-22,0,0,0.0
Wayne,37191,2020-01-22,0,0,0.0
Wilkes,37193,2020-01-22,0,0,0.0
Wilson,37195,2020-01-22,0,0,0.0
Yadkin,37197,2020-01-22,0,0,0.0
Yancey,37199,2020-01-22,0,0,0.0
Alamance,37001,2020-01-23,0,0,0.0
Alexander,37003,2020-01-23,0,0,0.0
Alleghany,37005,2020-01-23,0,0,0.0
Anson,37007,2020-01-23,0,0,0.0
Ashe,37009,2020-01-23,0,0,0.0
Avery,37011,2020-01-23,0,0,0.0
Beaufort,37013,2020-01-23,0,0,0.0
Bertie,37015,2020-01-23,0,0,0.0
Bladen,37017,2020-01-23,0,0,0.0
Brunswick,37019,2020-01-23,0,0,0.0
Buncombe,37021,2020-01-23,0,0,0.0
Burke,37023,2020-01-23,0,0,0.0
Cabarrus,37025,2020-01-23,0,0,0.0
Caldwell,37027,2020-01-23,0,0,0.0
Camden,37029,2020-01-23,0,0,0.0
Carteret,37031,2020-01-23,0,0,0.0
Caswell,37033,2020-01-23,0,0,0.0
Catawba,37035,2020-01-23,0,0,0.0
Chatham,37037,2020-01-23,0,0,0.0
Cherokee,37039,2020-01-23,0,0,0.0
Chowan,37041,2020-01-23,0,0,0.0
Clay,37043,2020-01-23,0,0,0.0
Cleveland,37045,2020-01-23,0,0,0.0
Columbus,37047,2020-01-23,0,0,0.0
Craven,37049,2020-01-23,0,0,0.0
Cumberland,37051,2020-01-23,0,0,0.0
Currituck,37053,2020-01-23,0,0,0.0
Dare,37055,2020-01-23,0,0,0.0
Davidson,37057,2020-01-23,0,0,0.0
Davie,37059,2020-01-23,0,0,0.0
Duplin,37061,2020-01-23,0,0,0.0
Durham,37063,2020-01-23,0,0,0.0
Edgecombe,37065,2020-01-23,0,0,0.0
Forsyth,37067,2020-01-23,0,0,0.0
Franklin,37069,2020-01-23,0,0,0.0
Gaston,37071,2020-01-23,0,0,0.0
Gates,37073,2020-01-23,0,0,0.0
Graham,37075,2020-01-23,0,0,0.0
Granville,37077,2020-01-23,0,0,0.0
Greene,37079,2020-01-23,0,0,0.0
Guilford,37081,2020-01-23,0,0,0.0
Halifax,37083,2020-01-23,0,0,0.0
Harnett,37085,2020-01-23,0,0,0.0
Haywood,37087,2020-01-23,0,0,0.0
Henderson,37089,2020-01-23,0,0,0.0
Hertford,37091,2020-01-23,0,0,0.0
