Region,Date,Total Confirmed Cases,New Cases
Wake,3/3/20,1,1
Wake,3/4/20,1,0
Wake,3/5/20,1,0
Wake,3/6/20,1,0
Wake,3/7/20,1,0
Wake,3/8/20,1,0
Wake,3/9/20,6,5
Wake,3/10/20,7,1
Wake,3/11/20,8,1
Wake,3/12/20,8,0
Wake,3/13/20,8,0
Wake,3/14/20,14,6
Wake,3/15/20,14,0
Wake,3/16/20,15,1
Wake,3/17/20,15,0
Wake,3/18/20,17,2
Wake,3/19/20,23,6
Wake,3/20/20,23,0
Wake,3/21/20,33,10
Wake,3/22/20,40,7
Wake,3/23/20,46,6
Wake,3/24/20,54,8
Wake,3/25/20,67,13
Wake,3/26/20,83,16
Wake,3/27/20,104,21
Wake,3/28/20,124,20
Wake,3/29/20,146,22
Wake,3/30/20,166,20
Wake,3/31/20,186,20
Wake,4/1/20,195,9
Wake,4/2/20,234,39
Wake,4/3/20,258,24
Wake,4/4/20,283,25
Wake,4/5/20,304,21
Wake,4/6/20,314,10
Wake,4/7/20,336,22
Wake,4/8/20,363,27
Wake,4/9/20,371,8
Wake,4/10/20,391,20
Wake,4/11/20,424,33
Wake,4/12/20,470,46
Wake,4/13/20,476,6
Wake,4/14/20,501,25
Wake,4/15/20,510,9
Wake,4/16/20,552,42
Wake,4/17/20,566,14
Wake,4/18/20,579,13
Wake,4/19/20,592,13
Wake,4/20/20,599,7
Wake,4/21/20,611,12
Wake,4/22/20,616,5
Wake,4/23/20,626,10
Wake,4/24/20,633,7
Wake,4/25/20,645,12
Wake,4/26/20,663,18
Wake,4/27/20,671,8
Wake,4/28/20,769,98
Wake,4/29/20,788,19
Wake,4/30/20,821,33
Wake,5/1/20,839,18
Wake,5/2/20,870,31
Wake,5/3/20,874,4
Wake,5/4/20,891,17
Wake,5/5/20,919,28
Wake,5/6/20,937,18
Wake,5/7/20,961,24
Wake,5/8/20,986,25
Wake,5/9/20,1013,27
Wake,5/10/20,1030,17
Wake,5/11/20,1048,18
Wake,5/12/20,1061,13
Wake,5/13/20,1080,19
Wake,5/14/20,1107,27
Wake,5/15/20,1143,36
Wake,5/16/20,1176,33
Wake,5/17/20,1212,36
Wake,5/18/20,1239,27
Wake,5/19/20,1272,33
Wake,5/20/20,1307,35
Wake,5/21/20,1345,38
Wake,5/22/20,1389,44
Wake,5/23/20,1434,45
Wake,5/24/20,1448,14
Wake,5/25/20,1471,23
Wake,5/26/20,1478,7
Wake,5/27/20,1519,41
Wake,5/28/20,1564,45
Wake,5/29/20,1613,49
Wake,5/30/20,1683,70
Wake,5/31/20,1683,0
Wake,6/1/20,1773,90
Wake,6/2/20,1841,68
Wake,6/3/20,1894,53
Wake,6/4/20,1977,83
Wake,6/5/20,2067,90
Wake,6/6/20,2155,88
Wake,6/7/20,2235,80
Wake,6/8/20,2300,65
Wake,6/9/20,2371,71
Wake,6/10/20,2448,77
Wake,6/11/20,2553,105
Wake,6/12/20,2737,184
Wake,6/13/20,2892,155
Wake,6/14/20,3011,119
Wake,6/15/20,3099,88
Wake,6/16/20,3163,64
Wake,6/17/20,3241,78
Wake,6/18/20,3385,144
Wake,6/19/20,3529,144
Wake,6/20/20,3721,192
Wake,6/21/20,3884,163
Wake,6/22/20,3984,100
Wake,6/23/20,4106,122
Wake,6/24/20,4253,147
Wake,6/25/20,4347,94
Wake,6/26/20,4506,159
Wake,6/27/20,4675,169
Wake,6/28/20,4816,141
Wake,6/29/20,4952,136
Wake,6/30/20,5060,108
Wake,7/1/20,5298,238
Wake,7/2/20,5453,155
Wake,7/3/20,5651,198
Wake,7/4/20,5810,159
Wake,7/5/20,5980,170
Wake,7/6/20,6150,170
Wake,7/7/20,6299,149
Wake,7/8/20,6471,172
Wake,7/9/20,6704,233
Wake,7/10/20,6898,194
Wake,7/11/20,7204,306
Wake,7/12/20,7447,243
Wake,7/13/20,7640,193
Wake,7/14/20,7737,97
Wake,7/15/20,7971,234
Wake,7/16/20,8157,186
Wake,7/17/20,8354,197
Wake,7/18/20,8593,239
Wake,7/19/20,8768,175
Wake,7/20/20,8897,129
Wake,7/21/20,9063,166
Wake,7/22/20,9252,189
Wake,7/23/20,9377,125
Wake,7/24/20,9610,233
Wake,7/25/20,9819,209
Wake,7/26/20,9991,172
Wake,7/27/20,10119,128
Wake,7/28/20,10289,170
Wake,7/29/20,10464,175
Wake,7/30/20,10641,177
Wake,7/31/20,10859,218
Wake,8/1/20,10969,110
Wake,8/2/20,11113,144
Wake,8/3/20,11235,122
Wake,8/4/20,11337,102
Wake,8/5/20,11425,88
Wake,8/6/20,11576,151
Wake,8/7/20,11753,177
Wake,8/8/20,11906,153
Wake,8/9/20,12028,122
Wake,8/10/20,12077,49
Wake,8/11/20,12148,71
Wake,8/12/20,12148,0
Wake,8/13/20,12406,258
Wake,8/14/20,12508,102
Wake,8/15/20,12603,95
Wake,8/16/20,12714,111
Wake,8/17/20,12754,40
Wake,8/18/20,12847,93
Wake,8/19/20,12951,104
Wake,8/20/20,13163,212
Wake,8/21/20,13362,199
Wake,8/22/20,13522,160
Wake,8/23/20,13700,178
Wake,8/24/20,13842,142
Wake,8/25/20,14004,162
Wake,8/26/20,14151,147
Wake,8/27/20,14387,236
Wake,8/28/20,14536,149
Wake,8/29/20,14745,209
Wake,8/30/20,14868,123
Wake,8/31/20,14967,99
Wake,9/1/20,15203,236
Wake,9/2/20,15297,94
Wake,9/3/20,15391,94
Wake,9/4/20,15391,0
Wake,9/5/20,15655,264
Wake,9/6/20,15741,86
Wake,9/7/20,15819,78
Wake,9/8/20,15887,68
Wake,9/9/20,15919,32
Wake,9/10/20,15999,80
Wake,9/11/20,16156,157
Wake,9/12/20,16219,63
Wake,9/13/20,16318,99
Wake,9/14/20,16393,75
Wake,9/15/20,16480,87
Wake,9/16/20,16530,50
Wake,9/17/20,16663,133
Wake,9/18/20,16745,82
Wake,9/19/20,16812,67
Wake,9/20/20,16880,68
Wake,9/21/20,16943,63
Wake,9/22/20,17010,67
Wake,9/23/20,17070,60
Wake,9/24/20,17158,88
Wake,9/25/20,17416,258
Wake,9/26/20,17485,69
Wake,9/27/20,17596,111
Wake,9/28/20,17651,55
Wake,9/29/20,17681,30
Wake,9/30/20,17756,75
Wake,10/1/20,17878,122
Wake,10/2/20,18014,136
Wake,10/3/20,18136,122
Wake,10/4/20,18155,19
Wake,10/5/20,18345,190
Wake,10/6/20,18463,118
Wake,10/7/20,18579,116
Wake,10/8/20,18755,176
Wake,10/9/20,18884,129
Wake,10/10/20,18980,96
Wake,10/11/20,19093,113
Wake,10/12/20,19160,67
Wake,10/13/20,19251,91
Wake,10/14/20,19334,83
Wake,10/15/20,19454,120
Wake,10/16/20,19583,129
Wake,10/17/20,19668,85
Wake,10/18/20,19801,133
Wake,10/19/20,19888,87
Wake,10/20/20,19952,64
Wake,10/21/20,19952,0
Wake,10/22/20,20165,213
Wake,10/23/20,20376,211
Wake,10/24/20,20166,0
Wake,10/25/20,20433,57
Wake,10/26/20,20765,332
Wake,10/27/20,20765,0
Wake,10/28/20,20964,199
Wake,10/29/20,20964,0
Wake,10/30/20,21135,171
Wake,10/31/20,21274,139
Wake,11/1/20,21409,135
Wake,11/2/20,21411,2
Wake,11/3/20,22120,709
Wake,11/4/20,22303,183
Wake,11/5/20,22560,257
Wake,11/6/20,22727,167
Wake,11/7/20,22890,163
Wake,11/8/20,23012,122
Wake,11/9/20,23223,211
Wake,11/10/20,23542,319
Wake,11/11/20,23727,185
Wake,11/12/20,23775,48
Wake,11/13/20,24076,301
Wake,11/14/20,24342,266
Wake,11/15/20,24488,146
Wake,11/16/20,24772,284
Wake,11/17/20,24960,188
Wake,11/18/20,25321,361
Wake,11/19/20,25608,287
Wake,11/20/20,25722,114
Wake,11/21/20,26089,367
Wake,11/22/20,26260,171
Wake,11/23/20,26635,375
Wake,11/24/20,26926,291
Wake,11/25/20,27201,275
Wake,11/26/20,27461,260
Wake,11/27/20,27902,441
Wake,11/28/20,28273,371
Wake,11/29/20,28413,140
Wake,11/30/20,28758,345
Wake,12/1/20,29155,397
Wake,12/2/20,29737,582
Wake,12/3/20,30008,271
Wake,12/4/20,30742,734
Wake,12/5/20,31029,287
Wake,12/6/20,31640,611
Wake,12/7/20,32111,471
Wake,12/8/20,32398,287
Wake,12/9/20,32821,423
Wake,12/10/20,33082,261
Wake,12/11/20,33744,662
Wake,12/12/20,34423,679
Wake,12/13/20,35029,606
Wake,12/14/20,35343,314
Wake,12/15/20,35785,442
Wake,12/16/20,36126,341
Wake,12/17/20,36338,212
Wake,12/18/20,37328,990
Wake,12/19/20,37903,575
Wake,12/20/20,38605,702
Wake,12/21/20,38864,259
Wake,12/22/20,39073,209
Wake,12/23/20,39073,0
Wake,12/24/20,39073,0
Wake,12/25/20,39073,0
Wake,12/26/20,39073,0
Wake,12/27/20,39073,0
Wake,12/28/20,41823,2750
Wake,12/29/20,42330,507
Wake,12/30/20,42951,621
Wake,12/31/20,44059,1108
Wake,1/1/21,44059,0
Wake,1/2/21,44954,895
Wake,1/3/21,45725,771
Wake,1/4/21,46288,563
Wake,1/5/21,46759,471
Wake,1/6/21,47315,556
Wake,1/7/21,48452,1137
Wake,1/8/21,49110,658
Wake,1/9/21,50627,1517
Wake,1/10/21,51290,663
Wake,1/11/21,51999,709
Wake,1/12/21,53188,1189
Wake,1/13/21,53462,274
Wake,1/14/21,54261,799
Wake,1/15/21,55887,1626
Wake,1/16/21,56241,354
Wake,1/17/21,56859,618
Wake,1/18/21,56859,0
Wake,1/19/21,57650,791
Wake,1/20/21,58306,656
Wake,1/21/21,59156,850
Wake,1/22/21,59872,716
Wake,1/23/21,60547,675
Wake,1/24/21,61106,559
Wake,1/25/21,61709,603
Wake,1/26/21,61930,221
Wake,1/27/21,62477,547
Wake,1/28/21,63196,719
Wake,1/29/21,64018,822
Wake,1/30/21,64630,612
Wake,1/31/21,65128,498
Wake,2/1/21,65564,436
Wake,2/2/21,65716,152
Wake,2/3/21,66959,1243
Wake,2/4/21,67475,516
Wake,2/5/21,67980,505
Wake,2/6/21,68460,480
Wake,2/7/21,68893,433
Wake,2/8/21,69211,318
Wake,2/9/21,69394,183
Wake,2/10/21,69757,363
Wake,2/11/21,70183,426
Wake,2/12/21,70566,383
Wake,2/13/21,70940,374
Wake,2/14/21,71233,293
Wake,2/15/21,71463,230
Wake,2/16/21,71580,117
Wake,2/17/21,71825,245
Wake,2/18/21,72213,388
Wake,2/19/21,72435,222
Wake,2/20/21,72534,99
Wake,2/21/21,72988,454
Wake,2/22/21,73195,207
Wake,2/23/21,73304,109
Wake,2/24/21,73474,170
Wake,2/25/21,73761,287
Wake,2/26/21,74043,282
Wake,2/27/21,74250,207
Wake,2/28/21,74250,0
Wake,3/1/21,74599,349
Wake,3/2/21,74696,97
Wake,3/3/21,74957,261
Wake,3/4/21,75183,226
Wake,3/5/21,75405,222
Wake,3/6/21,75588,183
Wake,3/7/21,75588,0
Wake,3/8/21,75922,334
Wake,3/9/21,75977,55
Wake,3/10/21,76232,255
Wake,3/11/21,76443,211
